iter	Logloss
0	0.6661633127
1	0.6388735887
2	0.6146719087
3	0.5938560672
4	0.5738753032
5	0.558769164
6	0.5387225888
7	0.5215462785
8	0.5036674748
9	0.4892751182
10	0.4751507209
11	0.4639793954
12	0.4505490249
13	0.442507612
14	0.4341946734
15	0.4255756905
16	0.4168036546
17	0.4091416026
18	0.400873758
19	0.393994091
20	0.3878929324
21	0.3791699293
22	0.3720703745
23	0.36501182
24	0.358597298
25	0.3527367134
26	0.3461110495
27	0.3418633996
28	0.3378098651
29	0.331995274
30	0.3279109428
31	0.3228267577
32	0.3193990816
33	0.315437627
34	0.3123792013
35	0.3072735236
36	0.3043702288
37	0.2996008648
38	0.2958738125
39	0.2924049812
40	0.2888968863
41	0.2853670818
42	0.28231092
43	0.2797065363
44	0.2766669669
45	0.2746055727
46	0.272518344
47	0.2703158371
48	0.2677297825
49	0.2647761213
50	0.2629101141
51	0.2611210831
52	0.2590397005
53	0.25825975
54	0.256504431
55	0.2548107519
56	0.2528408795
57	0.2503826017
58	0.2482622813
59	0.2463253145
60	0.2453358658
61	0.2439074012
62	0.2423202701
63	0.2408657539
64	0.2398519438
65	0.2381274216
66	0.2364541496
67	0.2347973614
68	0.2336054236
69	0.2316940277
70	0.2308117316
71	0.2292768587
72	0.2283148727
73	0.2272178836
74	0.2260880664
75	0.2250186951
76	0.2238945069
77	0.2225916793
78	0.2217777221
79	0.2201911337
80	0.2192329779
81	0.2181193654
82	0.2172175772
83	0.2158605684
84	0.2149373186
85	0.2135323935
86	0.212657975
87	0.2120687903
88	0.2110070019
89	0.2105147199
90	0.2098942888
91	0.2083692008
92	0.2069343164
93	0.2062230149
94	0.2051188461
95	0.204785944
96	0.2037629073
97	0.202479975
98	0.2016354538
99	0.2008798491
